SKU;Descricao SKU;PEP;Cod. ;Desc. BIOS;PLM
1000295;POSITIVO P117P;SEMPEP;11158935;BIOS POS-RIB360EE_0306.1.X.A5.P;RIB360EE
1000958;DSK POSITIVO STILO DSI3155;SEMPEP;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1000984;DSK POSITIVO STILO DSI3115;SEMPEP;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1001094;DSK POSITIVO STILO DSI3115 REMANUFATURA;SEMPEP;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1001379;DSK POSITIVO STATION I341TBKI H310;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001381;DSK POSITIVO STATION I341TBI H310c;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001383;DSK POSITIVO STATION I341TB H310;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001404;DSK POSITIVO STATION I541TB H310;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001405;DSK POSITIVO STATION I341TCKI MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001406;DSK POSITIVO STATION I341TCK MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001407;DSK POSITIVO STATION I341TCI MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001408;DSK POSITIVO STATION I341TC MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;
1001409;DSK POSITIVO STATION I341TCGI MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001410;DSK POSITIVO STATION I341TCG MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001411;DSK POSITIVO STATION I541TCKI MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001413;DSK POSITIVO STATION I541TBK MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001424;DSK POSITIVO STATION I541TCI MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001425;DSK POSITIVO STATION I541TC MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001426;DSK POSITIVO STATION I541TCGI MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1001427;DSK POSITIVO STATION I541TCG MAO;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
